Date,Transaction Description,Category,Amount,Type
1/2/2020,Score each.,Food & Drink,1485.69,Expense
1/2/2020,Quality throughout.,Utilities,1475.58,Expense
1/4/2020,Instead ahead despite measure ago.,Rent,1185.08,Expense
1/5/2020,Information last everything thank serve.,Investment,2291,Income
1/13/2020,Future choice whatever from.,Food & Drink,1126.88,Expense
1/14/2020,Benefit suggest page southern.,Shopping,448.68,Expense
1/18/2020,By two bad fall pick.,Food & Drink,1520.03,Expense
1/19/2020,Court attorney product significant world.,Other,3287,Income
1/21/2020,Herself law.,Entertainment,1914.85,Expense
1/25/2020,Have decide environment.,Rent,766.06,Expense
1/25/2020,Play move each left establish.,Health & Fitness,1211.41,Expense
1/26/2020,Range successful simply.,Salary,1077.09,Expense
1/29/2020,Source husband.,Shopping,166.81,Expense
1/30/2020,Tree note responsibility.,Health & Fitness,1158.93,Expense
1/31/2020,How trip learn enter.,Food & Drink,1325.91,Expense
1/31/2020,Much section investment on gun.,Rent,1712.08,Expense
1/31/2020,Management sense technology check civil.,Shopping,563.17,Expense
2/2/2020,As high you more wife.,Health & Fitness,333.68,Expense
2/4/2020,Race mr.,Travel,1406.62,Expense
2/5/2020,Born itself law west.,Rent,1222.17,Expense
2/5/2020,Seven medical blood personal.,Investment,1838,Income
2/7/2020,Current hear claim well two.,Travel,1979.15,Expense
2/7/2020,Food affect upon these story.,Entertainment,1372.38,Expense
2/8/2020,Around there water.,Food & Drink,465.81,Expense
2/8/2020,Staff within mouth call.,Other,3786,Income
2/9/2020,Close month parent who up.,Entertainment,1827.14,Expense
2/11/2020,Human public health.,Health & Fitness,433.13,Expense
2/13/2020,Building different full open.,Salary,294.31,Expense
2/15/2020,Detail audience piece director town.,Other,4009,Income
2/16/2020,Method everything.,Shopping,730.37,Expense
2/16/2020,Much rich think.,Utilities,1023.96,Expense
2/18/2020,Drug list imagine behind.,Investment,1398,Income
2/19/2020,Interest level rock pull.,Investment,3958,Income
2/20/2020,I fund.,Shopping,769.42,Expense
2/26/2020,Court movie cell.,Travel,1942.45,Expense
2/27/2020,Leg themselves away.,Food & Drink,1363.76,Expense
2/28/2020,Anything yourself.,Other,3286,Income
2/28/2020,Unit support.,Other,1795,Income
2/29/2020,Magazine degree husband around.,Travel,1944.06,Expense
3/3/2020,World enter.,Rent,1742.33,Expense
3/4/2020,Institution whatever yet.,Entertainment,314.15,Expense
3/4/2020,Choice father why often.,Food & Drink,1201.9,Expense
3/9/2020,Security arm.,Rent,1858.91,Expense
3/9/2020,Me system church whether.,Travel,486.51,Expense
3/11/2020,Attention attack technology.,Rent,180.45,Expense
3/11/2020,Walk now often.,Rent,1956.19,Expense
3/12/2020,Bank price north first end.,Utilities,265.5,Expense
3/12/2020,Enter capital population.,Utilities,537.46,Expense
3/14/2020,Upon very act perform.,Shopping,1929.08,Expense
3/15/2020,Available defense.,Entertainment,1428.77,Expense
3/18/2020,Value thing these.,Health & Fitness,881.82,Expense
3/21/2020,Citizen street region.,Rent,503.33,Expense
3/23/2020,Property never.,Investment,2385,Income
3/23/2020,Enough threat score.,Food & Drink,151.28,Expense
3/24/2020,Example decision garden.,Entertainment,144.13,Expense
3/28/2020,Major town suffer begin.,Other,1080,Income
4/1/2020,Analysis four capital.,Travel,1341.27,Expense
4/5/2020,Scientist necessary into.,Utilities,1449.47,Expense
4/6/2020,Away third.,Salary,493.56,Expense
4/6/2020,Along hard need involve among.,Shopping,388.92,Expense
4/10/2020,Together decide.,Other,3402,Income
4/17/2020,Government nice.,Salary,1729.04,Expense
4/17/2020,See understand door class son.,Investment,996,Income
4/18/2020,Agent say forward us.,Health & Fitness,1603.18,Expense
4/22/2020,City red him.,Investment,2058,Income
4/23/2020,Develop staff least figure.,Utilities,849.54,Expense
4/25/2020,Age cover foreign.,Entertainment,1750.23,Expense
4/26/2020,Go meeting quickly.,Investment,914,Income
4/26/2020,Voice boy wife condition.,Food & Drink,1938.3,Expense
4/27/2020,Board its.,Entertainment,340.96,Expense
4/27/2020,Paper memory history office.,Entertainment,1730.65,Expense
4/29/2020,Remember ability.,Utilities,764.16,Expense
4/30/2020,Hair attorney professional.,Travel,1853.77,Expense
5/1/2020,Finish summer rest feel finally.,Travel,851.78,Expense
5/3/2020,I fast camera inside.,Salary,318.05,Expense
5/3/2020,Past feeling nature.,Food & Drink,1162.57,Expense
5/5/2020,Expert involve oil.,Health & Fitness,123.76,Expense
5/6/2020,Kid put memory soldier.,Utilities,123.19,Expense
5/6/2020,Exist professional.,Utilities,146.36,Expense
5/7/2020,Stand seem.,Investment,3807,Income
5/11/2020,Southern challenge animal.,Investment,825,Income
5/12/2020,Sure authority increase picture create.,Shopping,1318.17,Expense
5/13/2020,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense
5/14/2020,Despite sound receive let.,Health & Fitness,484.99,Expense
5/15/2020,True building card.,Travel,919.88,Expense
5/16/2020,Write other wear through partner.,Rent,28.54,Expense
5/17/2020,Store natural today season.,Rent,155.79,Expense
5/19/2020,Else easy point she.,Travel,273.59,Expense
5/20/2020,Phone ever back experience.,Rent,1759.75,Expense
5/21/2020,Floor music catch discuss.,Utilities,881.99,Expense
5/25/2020,Ask imagine my.,Travel,1227.24,Expense
5/27/2020,Deal information.,Food & Drink,1339.05,Expense
5/28/2020,Task she.,Rent,1878.47,Expense
5/29/2020,Accept goal send table.,Investment,1376,Income
5/30/2020,Section national owner determine detail.,Utilities,551.97,Expense
5/31/2020,Ahead from quickly identify.,Health & Fitness,415.16,Expense
5/31/2020,Try wonder move trade.,Travel,1015.76,Expense
6/1/2020,Base investment.,Food & Drink,193.67,Expense
6/2/2020,Anyone here deep.,Travel,97.73,Expense
6/5/2020,Seven here sell story.,Utilities,1277.86,Expense
