Date,Year,Month,Month_Name,Day,Weekday,Quarter,Transaction Description,Category,Category_Code,Amount,Type,Is_Income
2023-09-21,2023,9,September,21,Thursday,3,throughout leader bag.,Utilities,9,633.69,Expense,0
2024-07-29,2024,7,July,29,Monday,3,future congress.,Health & Fitness,2,1603.7,Expense,0
2021-05-31,2021,5,May,31,Monday,2,up federal nor note.,Entertainment,0,649.84,Expense,0
2021-05-24,2021,5,May,24,Monday,2,people education great.,Health & Fitness,2,1729.85,Expense,0
2021-07-07,2021,7,July,7,Wednesday,3,general agency bit.,Shopping,7,1010.78,Expense,0
2022-12-05,2022,12,December,5,Monday,4,magazine join.,Utilities,9,113.06,Expense,0
2023-07-19,2023,7,July,19,Wednesday,3,rest or.,Travel,8,1948.7,Expense,0
2022-07-17,2022,7,July,17,Sunday,3,main board population.,Shopping,7,379.62,Expense,0
2024-03-26,2024,3,March,26,Tuesday,1,leader both rest challenge.,Food & Drink,1,1404.76,Expense,0
2020-11-26,2020,11,November,26,Thursday,4,heavy class story side speak.,Entertainment,0,1422.47,Expense,0
2023-01-19,2023,1,January,19,Thursday,1,society common stay ready.,Shopping,7,737.17,Expense,0
2024-10-10,2024,10,October,10,Thursday,4,wish current.,Health & Fitness,2,727.01,Expense,0
2022-06-11,2022,6,June,11,Saturday,2,begin determine degree forward.,Other,4,597.0,Income,1
2024-08-14,2024,8,August,14,Wednesday,3,yourself successful defense subject.,Entertainment,0,1040.31,Expense,0
2020-04-27,2020,4,April,27,Monday,2,paper memory history office.,Entertainment,0,1730.65,Expense,0
2024-03-13,2024,3,March,13,Wednesday,1,new type pm.,Entertainment,0,1822.86,Expense,0
2024-12-19,2024,12,December,19,Thursday,4,democratic recent student specific political.,Food & Drink,1,406.37,Expense,0
2022-02-17,2022,2,February,17,Thursday,1,full soldier.,Salary,6,960.12,Expense,0
2021-06-15,2021,6,June,15,Tuesday,2,feeling manage as.,Utilities,9,1834.33,Expense,0
2020-03-21,2020,3,March,21,Saturday,1,citizen street region.,Rent,5,503.33,Expense,0
2024-01-04,2024,1,January,4,Thursday,1,man care resource.,Investment,3,2036.0,Income,1
2023-10-08,2023,10,October,8,Sunday,4,employee continue none alone.,Salary,6,1458.39,Expense,0
2023-12-25,2023,12,December,25,Monday,4,event smile popular hundred live.,Salary,6,1901.21,Expense,0
2024-02-24,2024,2,February,24,Saturday,1,difference way type positive phone.,Health & Fitness,2,668.82,Expense,0
2024-09-26,2024,9,September,26,Thursday,3,right know during someone.,Travel,8,947.98,Expense,0
2021-06-14,2021,6,June,14,Monday,2,occur college herself.,Utilities,9,673.39,Expense,0
2024-11-11,2024,11,November,11,Monday,4,national back everybody direction budget.,Rent,5,216.82,Expense,0
2024-11-20,2024,11,November,20,Wednesday,4,day fact modern.,Health & Fitness,2,385.26,Expense,0
2024-02-10,2024,2,February,10,Saturday,1,little happy final population.,Salary,6,1661.67,Expense,0
2024-04-07,2024,4,April,7,Sunday,2,natural own.,Other,4,4900.0,Income,1
2023-08-17,2023,8,August,17,Thursday,3,computer prove amount population.,Travel,8,1428.35,Expense,0
2022-02-18,2022,2,February,18,Friday,1,rock painting become.,Investment,3,4883.0,Income,1
2024-04-09,2024,4,April,9,Tuesday,2,fear song save.,Utilities,9,330.3,Expense,0
2023-06-30,2023,6,June,30,Friday,2,side mind question year finish.,Food & Drink,1,1009.18,Expense,0
2020-10-16,2020,10,October,16,Friday,4,scientist will begin.,Rent,5,1646.01,Expense,0
2021-03-05,2021,3,March,5,Friday,1,heavy what least mouth national.,Food & Drink,1,110.65,Expense,0
2021-06-02,2021,6,June,2,Wednesday,2,forward sense cause write right.,Utilities,9,1915.87,Expense,0
2021-06-06,2021,6,June,6,Sunday,2,first blood accept final.,Shopping,7,823.45,Expense,0
